age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
27,9,2,1,0,1601,0,0,0,4,3,390,2,0
38,3,2,0,0,199,1,0,0,12,8,1203,1,1
47,3,1,1,0,3940,1,0,0,30,0,211,1,0
40,7,1,1,0,0,1,0,0,2,6,297,1,0
44,9,0,1,0,982,1,0,2,20,8,650,3,1
33,9,1,1,0,-89,0,1,0,4,1,410,4,0
31,4,2,2,0,354,0,0,0,30,0,502,1,1
43,0,1,1,0,2271,0,0,1,10,9,524,1,1
50,4,1,1,0,1165,0,0,0,16,5,455,1,1
33,9,2,2,0,109,1,1,0,25,8,601,2,1
42,1,1,1,0,165,0,0,1,20,0,169,1,0
47,1,1,0,0,1452,1,1,0,4,1,166,2,0
70,5,1,3,0,1236,0,0,0,12,7,58,4,0
25,1,2,1,0,-250,1,0,2,13,8,456,1,0
41,4,2,2,0,572,1,0,0,3,3,419,2,0
47,10,1,1,0,817,0,0,0,7,0,721,4,1
47,9,0,2,0,477,1,0,1,7,8,973,1,0
31,7,2,1,0,125,0,0,0,4,8,200,1,0
45,9,1,1,0,1998,0,0,0,4,8,237,5,1
39,10,1,1,0,2245,0,0,0,21,9,749,2,1
73,5,1,0,0,253,0,0,0,20,0,345,1,1
44,4,1,2,0,1954,0,0,0,2,6,294,1,1
31,9,1,1,0,183,0,0,0,16,0,495,1,1
40,4,1,0,0,395,1,0,0,22,0,232,4,1
45,1,1,1,0,530,0,1,2,17,6,705,1,0
50,4,1,2,0,451,1,0,0,14,8,441,3,0
54,1,1,1,0,898,0,0,1,30,5,641,2,0
60,4,1,3,0,0,0,0,0,4,3,273,1,0
40,9,2,2,0,1646,1,0,0,4,8,392,2,1
37,10,1,1,0,2424,0,0,0,20,9,633,2,0
57,9,1,1,0,1753,1,0,0,7,8,539,1,0
52,1,1,0,0,4015,1,0,2,15,8,493,2,0
35,4,1,2,0,2308,0,1,2,9,6,540,1,0
33,4,0,2,0,2885,0,0,0,5,1,1051,2,1
51,3,1,1,1,-1013,1,0,2,26,8,664,1,0
31,1,1,1,0,1017,1,0,2,29,8,514,3,0
26,9,2,1,0,354,0,0,0,16,5,586,1,1
52,4,2,2,0,2290,0,0,0,30,0,195,2,0
34,1,1,1,0,182,0,0,0,6,1,938,2,1
52,4,2,2,0,556,0,0,0,13,1,733,6,0
48,9,1,1,0,127,0,1,0,7,1,524,5,0
48,2,1,2,1,-392,0,0,0,31,5,725,4,1
34,8,2,3,0,1011,0,0,0,1,6,253,1,1
30,10,2,1,0,1058,0,0,0,4,3,515,1,0
30,0,2,1,0,-213,1,1,2,27,8,751,1,1
33,9,1,1,0,221,1,0,0,13,8,669,1,1
25,9,2,1,0,4718,0,0,0,24,5,709,1,1
49,7,1,1,0,-33,1,0,2,6,6,774,13,0
52,4,1,2,0,3737,1,0,2,19,6,574,4,0
33,4,2,2,0,6807,0,0,0,20,0,163,1,1
53,1,1,3,0,2785,1,0,2,15,8,1165,1,0
41,0,1,1,0,1597,1,0,0,16,0,461,2,0
40,1,1,1,0,5060,0,0,2,9,9,299,1,1
37,1,1,1,0,740,1,0,0,7,8,434,3,0
34,1,1,0,0,602,1,0,0,16,5,680,1,0
49,4,1,1,0,48,0,0,0,6,3,526,4,0
24,1,1,0,0,656,1,0,2,16,8,894,1,1
38,9,2,1,0,-242,1,0,0,18,8,1173,3,1
41,2,1,1,0,8491,1,0,0,18,9,929,1,1
54,10,1,0,0,541,1,0,0,3,3,237,3,0
34,0,1,1,0,1474,0,0,0,2,0,739,2,1
51,1,1,0,0,173,1,0,2,5,8,529,2,0
34,4,1,1,0,-294,1,0,2,27,8,532,2,0
52,1,1,1,0,-397,0,1,0,4,1,151,1,0
32,4,2,2,0,-307,1,1,0,7,8,447,2,0
46,9,1,3,0,3914,1,0,0,30,0,247,1,0
42,9,1,1,0,8036,0,0,2,9,6,948,5,0
28,9,2,2,0,968,0,1,0,22,5,470,2,0
30,2,1,0,0,2686,1,0,0,15,5,808,3,1
34,4,1,2,0,4859,0,0,0,30,0,113,1,0
43,9,1,0,0,2309,1,0,0,22,5,578,1,0
33,7,1,1,0,293,1,0,0,20,9,834,3,0
51,0,2,1,0,3132,0,0,1,5,9,449,1,0
53,1,1,0,0,354,0,0,0,20,0,416,2,0
41,1,1,0,0,-516,0,1,1,8,5,554,3,0
43,4,0,2,0,580,1,0,0,11,8,1514,1,1
26,2,2,1,0,265,1,0,2,28,8,593,1,0
45,9,1,1,0,406,1,0,0,3,6,240,1,0
40,0,1,1,0,2574,1,0,0,20,9,517,1,0
35,7,2,0,0,739,1,0,0,4,3,605,1,0
54,1,0,1,0,218,0,0,2,6,6,514,2,0
34,7,2,2,0,239,0,0,0,28,4,699,2,0
56,9,1,1,0,3931,0,0,0,14,0,115,1,0
51,7,1,1,0,5699,1,0,0,30,4,436,1,0
42,4,1,2,0,6060,1,0,0,30,0,316,1,1
58,9,1,2,0,883,0,0,0,1,6,373,2,0
29,0,2,1,0,731,0,0,0,14,0,107,3,1
34,0,1,1,0,475,1,0,2,7,8,559,1,0
41,9,2,1,0,618,0,0,0,5,3,1056,1,0
27,9,2,2,0,4003,0,0,0,30,0,584,1,0
54,5,1,1,0,1614,1,0,2,17,6,534,4,0
44,1,1,1,0,96,1,0,0,31,5,547,2,0
34,6,2,2,0,5462,0,0,0,30,0,430,1,1
34,11,2,1,0,859,0,0,0,28,4,829,1,1
37,7,2,1,0,3,0,0,2,17,6,527,1,0
44,1,2,0,0,36,1,0,0,15,8,551,1,1
44,1,1,1,0,130,1,1,0,11,8,528,1,0
32,2,2,0,1,-849,1,1,0,4,3,204,1,0
34,7,1,1,0,0,1,0,0,21,0,95,1,0
40,1,0,0,0,0,1,0,2,5,8,962,1,0
48,1,1,1,0,3776,0,0,1,4,8,254,4,0
30,9,2,3,0,766,0,0,0,30,0,296,1,0
34,1,1,0,0,695,1,1,2,16,8,1064,4,1
36,6,2,2,0,-103,1,1,1,17,10,3253,1,1
28,0,2,3,0,2736,0,0,0,8,5,705,1,1
30,1,1,1,0,486,1,0,2,29,8,1109,3,1
38,9,0,1,0,902,1,0,0,3,3,650,1,1
44,1,1,1,0,3813,1,0,2,3,6,771,1,0
76,3,0,0,0,1411,0,0,1,15,0,170,3,1
39,7,1,1,0,0,1,0,2,20,8,793,2,0
35,10,1,2,0,1057,1,0,0,8,0,902,2,0
47,7,1,0,0,0,1,0,0,4,1,226,1,0
34,7,0,1,0,89,1,0,0,15,8,1871,4,1
34,4,1,2,0,0,1,0,0,3,3,251,1,1
46,4,1,1,0,231,0,1,0,4,1,243,1,0
48,4,1,2,0,288,0,0,0,18,1,585,3,0
29,6,1,2,0,246,0,0,0,23,0,90,14,0
26,0,2,3,0,677,0,0,0,4,8,399,1,0
23,0,2,2,0,314,0,1,0,8,0,142,4,1
48,1,1,1,0,1596,1,0,2,14,8,760,1,1
47,9,0,2,0,694,1,0,0,11,8,1001,4,0
44,1,1,0,0,8,0,0,0,28,4,531,1,0
33,7,0,1,0,1117,0,0,0,2,6,417,1,1
30,4,2,2,0,220,1,0,0,4,8,233,2,0
36,4,1,2,0,-26,0,0,0,17,0,214,2,0
31,4,2,2,0,24870,1,0,2,21,8,634,2,0
35,0,2,1,0,0,0,1,0,7,5,480,1,0
49,0,1,1,0,3620,0,0,0,4,8,346,2,0
40,7,1,1,0,-192,1,0,0,11,8,666,1,1
59,5,1,1,0,3,0,0,2,17,6,1199,2,0
34,9,1,1,0,272,1,0,0,4,3,287,1,0
38,9,1,1,0,508,1,0,2,27,8,565,2,0
25,0,2,1,0,82,0,1,0,7,0,104,2,1
32,9,1,1,0,12,1,1,0,4,1,341,2,0
35,0,1,1,0,1286,1,0,0,5,8,862,3,1
57,5,1,2,0,53,0,0,1,29,5,539,2,0
26,7,1,1,0,77,1,0,0,15,8,619,1,1
41,7,0,1,0,840,1,0,0,2,3,938,1,1
57,0,1,1,0,1509,1,0,0,18,9,509,1,0
39,1,2,1,0,649,1,0,0,15,0,668,1,1
57,3,0,1,0,4969,0,0,0,21,9,655,2,0
36,10,2,2,0,1291,0,0,0,30,0,195,1,1
51,7,0,1,0,65,0,1,0,15,5,881,1,1
53,9,1,3,0,253,1,0,0,8,8,763,1,0
46,0,0,1,0,1198,1,1,0,7,0,837,1,0
36,4,1,2,0,170,0,0,0,7,1,493,2,0
35,1,1,1,0,153,1,0,0,18,9,645,2,0
49,1,0,0,0,235,0,0,0,29,4,626,1,0
41,4,0,3,0,465,1,0,0,22,5,1508,1,1
31,6,2,2,0,217,0,0,0,19,9,501,4,0
38,10,1,1,0,1604,0,0,2,20,6,1276,1,0
41,1,1,1,0,1384,1,0,2,15,8,1162,4,1
35,4,1,2,0,1550,1,0,2,29,8,1611,2,0
29,1,1,1,0,1171,1,0,2,28,8,565,2,0
35,1,1,1,0,5639,1,0,0,20,9,945,2,1
52,3,1,1,0,3923,1,0,2,14,8,942,3,1
34,1,2,0,0,517,0,1,0,3,3,330,2,0
49,1,1,0,0,3767,1,0,2,23,8,493,13,0
39,10,2,2,0,79,0,0,0,2,6,369,1,0
26,8,2,2,0,10086,0,0,0,21,0,110,2,1
33,4,2,2,0,1423,1,0,0,16,0,633,3,0
53,0,2,1,0,2892,0,0,0,9,0,527,3,1
30,7,1,1,0,0,1,0,0,21,9,681,4,1
55,10,0,1,0,387,1,0,2,6,8,918,1,1
34,7,1,1,0,-538,1,0,2,26,8,682,1,1
57,9,1,0,0,3376,1,0,1,2,6,421,2,1
41,4,1,2,0,2226,0,0,0,30,0,179,1,0
34,4,1,2,0,-308,1,0,0,30,0,140,2,0
42,2,1,2,0,5345,0,0,2,11,6,878,3,1
30,4,2,2,0,112,1,1,0,12,8,451,2,0
54,10,2,1,0,380,0,0,0,17,9,696,2,1
34,4,1,2,0,0,0,0,0,2,3,327,1,0
31,4,1,2,0,732,1,0,0,29,4,542,1,0
39,7,0,1,0,0,1,0,0,13,0,1006,2,1
32,3,1,1,0,0,0,0,0,21,1,435,2,0
54,4,1,2,0,511,0,0,0,17,3,1201,3,0
57,0,1,1,0,4391,0,0,1,4,3,1416,1,1
46,4,0,2,0,2166,1,0,0,23,5,870,1,1
36,1,1,1,0,580,0,0,0,10,5,633,1,0
39,6,0,2,0,155,0,0,0,19,9,449,2,0
31,0,2,1,0,3950,1,0,0,21,9,529,1,1
41,4,0,2,0,1757,0,0,0,26,1,515,13,0
33,0,2,1,0,572,1,0,0,30,4,1296,2,0
37,4,1,2,0,4436,0,0,0,13,1,846,5,1
42,4,1,2,0,1275,1,1,0,21,9,925,5,1
31,1,2,0,0,-443,1,0,2,28,8,507,1,0
35,0,0,1,0,951,1,0,0,16,0,567,2,0
36,8,2,3,0,36,1,0,2,29,8,705,1,0
34,4,1,2,1,-30,1,0,0,4,3,449,2,0
59,1,1,0,0,1939,0,0,0,23,0,172,1,1
36,1,1,1,0,-42,0,1,0,2,3,521,2,0
52,5,2,1,0,316,0,0,0,12,8,463,3,0
34,9,1,1,0,456,1,0,2,23,8,621,1,0
36,2,1,2,0,3057,0,0,2,16,6,2769,4,1
35,4,1,2,0,2472,0,0,0,18,9,586,2,0
30,0,2,1,0,3156,0,0,0,2,3,170,1,0
29,4,1,2,0,877,0,0,0,3,3,166,3,0
44,3,1,2,0,460,0,0,2,17,6,491,1,0
33,6,2,2,0,301,1,0,0,17,0,446,1,0
48,4,1,1,0,268,1,0,0,28,5,458,7,1
33,4,1,2,0,78,1,0,0,21,5,856,1,0
33,4,1,1,0,-14,1,0,0,20,0,856,3,0
60,5,0,1,0,1091,0,0,0,30,5,441,5,1
56,5,0,1,0,-890,1,0,0,10,5,467,1,0
44,3,1,0,0,2388,0,0,0,21,9,570,2,0
31,6,1,2,0,94,0,0,0,22,1,579,2,1
36,0,1,1,0,313,1,0,1,4,3,403,2,0
29,8,2,2,0,1679,0,0,0,2,3,485,2,0
30,9,1,1,0,289,1,0,0,14,1,1184,4,1
35,1,2,1,0,448,0,1,0,20,9,1031,6,0
60,1,1,1,0,196,0,0,2,20,6,583,3,0
42,4,1,2,0,36,0,0,0,21,9,664,3,1
55,1,2,1,0,82,0,1,0,7,5,500,1,0
34,7,1,0,0,285,1,0,0,3,3,625,4,0
29,4,2,2,0,9407,0,0,0,4,8,267,6,1
39,9,1,1,0,425,1,0,0,6,1,562,3,0
32,6,1,0,0,-6,0,0,2,23,8,881,2,0
48,4,1,2,0,7289,1,0,0,2,3,316,3,0
25,7,2,1,0,156,1,1,0,25,5,602,5,0
62,5,1,3,0,800,0,0,0,17,3,737,1,1
40,9,1,1,0,265,0,0,2,18,6,1365,4,0
48,4,1,3,0,0,1,0,0,8,8,612,1,0
28,8,2,1,0,949,1,0,2,28,8,1730,1,1
35,7,2,1,0,719,1,0,0,18,8,1359,3,1
30,4,2,2,0,5389,0,0,0,6,1,1456,3,1
49,1,1,0,0,0,1,0,0,2,3,210,1,0
46,4,1,2,0,0,0,0,0,3,7,305,13,1
35,6,1,1,0,188,1,1,2,5,6,1865,2,1
30,9,2,1,0,-522,1,1,0,5,8,670,2,1
50,1,1,1,0,-581,1,0,0,14,8,877,2,0
26,1,1,0,1,-683,1,1,2,27,8,446,1,0
45,4,1,2,0,210,1,0,0,21,5,623,1,0
54,10,2,0,0,199,1,0,0,21,9,532,1,0
49,1,1,0,0,3652,1,1,0,11,8,568,1,0
25,1,2,0,0,52,1,0,2,24,6,528,2,1
38,1,2,2,0,172,1,0,0,1,0,1176,1,1
37,1,1,1,0,660,1,1,0,5,3,449,4,0
49,3,1,0,0,249,1,0,0,21,9,450,1,0
31,9,1,1,0,4182,1,0,0,4,8,347,2,1
29,1,2,3,0,694,1,1,0,16,5,1806,4,1
35,4,1,2,0,93,0,0,0,4,8,198,2,0
41,4,2,2,0,416,1,0,0,12,1,1476,2,0
38,4,2,2,0,104,1,0,0,6,8,606,3,1
34,7,1,1,0,603,1,1,2,21,8,1409,3,0
42,4,1,0,0,5310,1,0,0,22,8,545,2,1
35,9,1,1,0,0,0,0,0,14,5,460,3,0
35,4,2,2,0,824,1,0,0,16,0,693,2,0
34,4,2,2,0,0,1,0,2,21,8,759,1,0
58,2,1,1,0,670,1,0,0,12,8,1272,1,1
50,1,1,2,0,1784,0,0,0,19,9,1184,3,0
55,9,1,1,0,264,1,1,0,31,5,1150,5,1
29,1,1,0,0,5,0,0,0,3,6,321,1,1
38,7,1,1,0,53,0,0,0,4,3,226,1,0
32,1,1,0,0,391,1,0,0,17,0,728,1,0
35,1,1,3,0,1201,0,0,2,18,6,537,1,1
26,6,2,2,0,553,0,0,0,30,0,347,3,0
32,3,1,0,0,2678,0,0,0,18,1,779,9,0
26,1,2,1,0,5005,0,1,0,3,0,117,1,1
45,2,1,1,0,781,0,1,0,17,9,652,2,1
49,3,0,1,0,0,0,0,1,30,0,136,2,0
34,1,2,1,0,855,1,0,0,16,5,578,1,1
32,1,1,0,0,2456,1,0,0,17,5,1151,1,0
39,9,0,1,0,291,1,0,0,7,8,882,2,1
40,1,1,0,0,278,1,0,2,23,8,1015,3,1
46,1,1,0,0,771,1,0,0,18,9,708,1,0
40,4,1,2,0,-4,1,0,2,5,8,2033,1,0
44,6,2,2,0,2734,1,0,0,12,8,897,4,1
47,1,1,1,0,1794,1,1,2,30,8,515,2,0
28,4,2,2,0,0,1,0,0,16,5,767,5,1
34,1,1,1,0,751,1,1,0,17,9,1303,1,1
25,1,2,1,0,207,1,0,2,28,8,680,1,0
52,2,1,2,1,-468,0,0,0,8,5,534,1,1
39,1,1,1,0,518,1,0,2,4,6,608,2,0
43,7,1,2,0,519,1,0,0,18,8,715,6,0
41,9,2,1,0,143,0,0,0,20,1,744,7,0
34,9,1,3,0,12,1,0,0,11,5,504,2,0
52,9,0,1,0,2816,0,0,2,20,6,492,3,0
42,6,1,1,0,240,1,0,0,4,3,183,1,0
36,10,2,2,0,221,0,0,0,3,3,225,4,0
29,0,1,1,0,7707,1,0,0,29,0,961,2,1
38,1,0,1,0,1344,1,0,0,15,0,942,2,0
39,9,0,2,0,113,1,1,0,2,0,1012,2,0
32,1,1,1,0,557,0,0,0,4,3,388,3,0
46,10,0,1,0,3354,1,0,0,19,9,522,1,1
34,9,2,2,0,586,1,0,2,16,8,489,2,0
58,0,1,1,0,310,1,1,0,21,0,75,1,0
32,1,2,1,0,3845,1,0,0,18,9,459,3,0
33,9,1,1,0,575,0,1,0,4,3,254,2,0
25,4,1,2,0,-242,1,1,0,18,8,600,4,1
37,1,2,1,0,5024,0,1,0,25,5,661,4,1
38,4,2,2,0,667,1,0,0,17,0,479,2,0
49,6,2,2,0,-341,0,1,0,18,9,920,2,0
34,6,1,0,0,7468,1,1,0,30,0,383,1,1
35,4,2,2,0,7506,1,0,2,30,10,248,1,1
53,9,2,1,0,708,1,0,2,16,8,631,3,0
38,9,1,2,0,202,0,0,0,5,1,1311,2,1
29,4,2,2,0,1377,0,0,0,8,0,548,2,1
43,6,2,3,0,3173,0,0,2,15,8,746,1,1
78,5,1,0,0,240,0,0,0,20,0,325,1,1
44,10,2,0,1,-4,0,1,0,30,5,788,2,1
42,9,0,1,0,314,1,0,2,30,10,234,1,1
31,0,2,1,0,190,0,0,0,30,0,514,1,1
71,5,0,2,0,780,0,0,1,22,0,220,1,0
58,9,1,2,0,1692,1,0,1,17,5,517,5,0
35,9,2,1,0,399,1,0,0,13,8,496,2,1
34,4,1,2,0,1310,0,0,1,30,4,521,3,0
32,10,2,1,0,5670,0,0,0,4,3,326,1,0
48,9,1,2,0,9207,0,0,0,18,1,445,3,0
46,0,1,1,0,660,0,0,0,6,1,740,2,1
57,6,1,1,0,380,0,0,0,18,9,878,2,0
29,4,1,2,0,0,1,0,0,6,8,667,2,1
38,2,1,1,0,593,1,1,0,24,5,1484,24,1
51,5,1,0,0,1495,0,0,1,25,5,1946,4,1
34,1,2,1,1,-60,0,0,0,3,0,84,1,0
33,4,1,2,0,5289,1,0,0,6,8,487,2,0
34,9,2,1,0,18777,1,0,0,18,9,535,1,0
32,7,1,1,0,1167,1,1,1,16,0,668,3,0
57,3,1,0,0,58,0,0,2,11,6,510,1,0
33,1,1,0,0,5,1,0,0,17,0,1007,2,1
53,4,2,2,0,0,0,0,0,30,5,595,1,0
46,1,1,0,0,1114,1,0,2,15,8,490,3,0
47,9,1,1,0,293,0,0,0,3,7,499,1,1
43,1,1,1,0,1311,1,0,2,14,8,746,1,0
37,3,2,1,0,465,1,0,0,18,8,899,3,1
31,0,1,1,0,298,1,1,2,26,8,518,1,0
46,3,0,0,0,2084,1,0,0,18,5,1081,2,1
41,0,0,1,0,2550,1,0,0,15,8,894,2,0
41,7,1,1,0,2399,1,0,2,29,8,607,2,0
29,0,2,1,0,3794,0,0,0,30,0,249,1,0
33,0,2,1,0,1277,1,0,0,18,8,827,1,1
35,4,1,2,0,82,0,0,0,8,1,507,4,1
37,4,2,2,0,455,1,0,0,13,1,904,6,1
57,5,1,0,0,2961,0,0,0,20,0,128,2,0
39,7,0,1,0,229,1,0,0,4,3,238,1,0
31,1,1,0,0,1601,0,0,0,21,9,521,3,0
29,7,2,1,0,887,0,0,0,4,3,343,1,0
40,2,0,1,0,2998,1,0,0,18,5,623,3,1
34,0,1,1,0,155,0,0,0,5,3,696,2,1
32,0,0,1,0,714,0,0,0,2,3,221,1,0
39,9,2,1,0,506,1,0,0,7,5,718,2,1
66,1,1,0,0,2552,0,0,1,22,0,186,4,0
43,4,1,2,0,1429,1,0,0,7,8,1030,1,1
36,1,0,0,0,-308,1,0,0,12,8,725,1,1
43,10,1,0,0,9,1,1,0,6,8,472,1,0
26,4,2,1,0,609,1,0,0,21,5,594,1,0
29,9,2,1,0,316,1,0,0,3,7,156,1,1
48,7,1,1,0,975,1,1,0,15,8,521,2,0
30,0,1,1,0,4457,1,0,0,21,9,566,4,1
35,0,2,1,0,507,1,0,0,22,5,560,2,1
34,0,0,1,0,479,1,0,0,12,8,515,1,1
41,1,1,0,0,1250,1,0,2,20,8,1392,2,1
40,7,2,1,0,-61,1,1,2,16,8,698,9,0
32,9,2,2,0,654,1,0,0,25,8,615,4,1
34,9,2,2,0,925,1,0,0,13,0,709,1,1
32,4,2,2,0,4291,0,0,0,7,1,1321,9,1
53,2,2,1,0,62,1,0,2,30,8,1044,5,1
47,1,1,1,0,1449,0,0,0,4,1,322,1,0
51,1,1,3,0,296,0,0,0,17,0,177,1,0
36,9,1,1,0,1497,0,1,0,21,9,455,2,0
29,9,2,1,0,110,1,0,0,13,0,1036,1,1
41,4,1,1,0,0,0,1,0,7,5,630,3,0
55,1,1,1,0,233,1,0,0,5,8,813,2,0
30,7,1,1,0,48,1,0,0,31,5,662,13,1
25,1,2,1,0,330,1,0,2,4,6,605,1,0
36,0,0,0,0,1127,1,0,0,17,0,625,3,0
29,1,1,0,0,1280,1,0,2,28,8,629,2,0
48,3,1,0,0,7195,0,0,0,21,9,609,2,1
59,11,1,2,0,499,0,0,0,29,4,966,1,0
31,1,2,1,0,42,0,0,0,9,3,473,3,0
37,1,1,1,0,680,1,1,0,16,5,613,3,0
31,9,1,1,0,-720,1,0,2,17,6,638,16,0
22,8,2,1,0,1925,0,0,0,4,8,180,1,0
33,0,2,1,0,79,0,0,0,2,3,674,1,0
58,1,2,1,0,119,1,1,0,12,8,985,1,1
33,9,1,1,0,806,0,0,0,17,0,108,1,1
25,9,2,1,0,0,0,1,0,8,5,634,1,1
37,1,1,0,0,378,1,0,2,9,8,514,1,0
55,4,0,2,0,1598,0,0,0,22,1,607,4,0
26,8,2,2,0,1804,0,0,0,6,0,156,2,0
52,4,0,0,0,92,0,1,0,16,5,469,7,0
42,10,2,1,0,1523,1,0,0,2,3,736,1,0
69,5,1,2,0,473,0,0,0,20,0,333,1,0
45,9,1,1,0,1818,0,0,0,2,3,197,1,0
45,0,1,0,0,895,1,0,2,29,8,480,2,0
44,1,2,1,0,0,1,0,0,15,0,442,1,0
27,8,2,2,0,3687,0,0,0,8,0,335,2,0
36,1,1,0,0,0,1,0,0,18,9,618,2,0
49,1,1,0,0,408,0,0,0,12,1,559,4,1
27,1,1,1,0,1295,1,0,0,14,8,1106,1,0
37,1,1,0,0,2120,1,0,0,15,8,655,3,1
48,3,0,1,0,-621,0,1,0,14,5,552,3,0
38,0,2,1,0,100,1,0,2,7,8,786,1,1
26,4,2,2,0,761,0,0,0,2,3,362,1,0
36,4,2,2,0,7606,1,0,2,30,8,917,1,1
37,4,0,2,0,153,1,0,0,30,0,221,1,0
33,0,1,1,0,89,0,0,1,10,5,524,3,0
34,4,1,2,0,4831,1,0,0,4,3,265,1,0
54,7,1,1,0,171,0,1,0,14,5,673,8,0
31,4,1,2,0,713,1,0,2,9,8,1534,2,0
